T [C],RH [%],Short_wave_global [W/m2],,,,,,,,,,,,,,
10.5382,95.4935,26.7418,,,,,,,,,,,,,,
10.169,99.7736,17.0927,,,,,,,,,,,,,,
10.255,99.8294,8.68694,,,,,,,,,,,,,,
10.819,99.8253,3.03484,,,,,,,,,,,,,,
10.0904,99.7775,0.434365,,,,,,,,,,,,,,
8.63182,99.1975,0,,,,,,,,,,,,,,
8.25978,97.1938,0,,,,,,,,,,,,,,
8.15762,95.7017,0,,,,,,,,,,,,,,
8.16314,91.7268,0,,,,,,,,,,,,,,
7.97673,90.7141,0,,,,,,,,,,,,,,
7.92761,96.1157,0,,,,,,,,,,,,,,
8.00181,98.2314,0,,,,,,,,,,,,,,
8.2106,99.7735,0,,,,,,,,,,,,,,
8.50441,99.7889,0,,,,,,,,,,,,,,
8.78858,99.8309,0,,,,,,,,,,,,,,
9.26847,99.8571,0,,,,,,,,,,,,,,
9.55627,99.8549,0,,,,,,,,,,,,,,
10.9903,99.8984,0,,,,,,,,,,,,,,
10.7222,99.8908,0,,,,,,,,,,,,,,
11.1277,99.8851,0.0010261,,,,,,,,,,,,,,
11.4405,99.9024,0.904735,,,,,,,,,,,,,,
11.7155,99.9234,4.04513,,,,,,,,,,,,,,
11.8745,99.9253,7.17418,,,,,,,,,,,,,,
11.9308,99.9203,7.39965,,,,,,,,,,,,,,
11.8903,99.9185,6.41255,,,,,,,,,,,,,,
12.0246,99.9146,7.07154,,,,,,,,,,,,,,
11.7872,99.8992,5.35909,,,,,,,,,,,,,,
12.0044,99.848,1.99111,,,,,,,,,,,,,,
10.5405,99.7896,0.432837,,,,,,,,,,,,,,
10.1929,99.7969,0,,,,,,,,,,,,,,
8.97181,99.6433,0,,,,,,,,,,,,,,
9.9144,82.7987,0,,,,,,,,,,,,,,
9.73491,73.0839,0,,,,,,,,,,,,,,
9.66441,77.1988,0,,,,,,,,,,,,,,
9.68604,78.6861,0,,,,,,,,,,,,,,
8.83039,96.9354,0,,,,,,,,,,,,,,
8.897,99.8307,0,,,,,,,,,,,,,,
9.17468,99.8951,0,,,,,,,,,,,,,,
9.21809,99.9248,0,,,,,,,,,,,,,,
9.28424,99.9155,0,,,,,,,,,,,,,,
9.27301,99.8975,0,,,,,,,,,,,,,,
10.787,99.8851,0,,,,,,,,,,,,,,
11.0984,99.8647,0.000383653,,,,,,,,,,,,,,
11.0101,99.846,0.411061,,,,,,,,,,,,,,
10.7323,99.8763,3.70139,,,,,,,,,,,,,,
8.58785,99.8698,4.49873,,,,,,,,,,,,,,
9.24014,99.844,16.1945,,,,,,,,,,,,,,
9.7627,99.8009,50.0163,,,,,,,,,,,,,,
9.58105,99.032,70.0094,,,,,,,,,,,,,,
10.1707,91.2213,61.1105,,,,,,,,,,,,,,
10.5165,80.9116,45.6385,,,,,,,,,,,,,,
9.94773,87.9227,22.1812,,,,,,,,,,,,,,
9.89833,93.5626,2.80167,,,,,,,,,,,,,,
9.83398,97.0482,0,,,,,,,,,,,,,,
10.2919,97.4932,0,,,,,,,,,,,,,,
10.303,97.5778,0,,,,,,,,,,,,,,
10.7394,97.7405,0,,,,,,,,,,,,,,
10.912,98.003,0,,,,,,,,,,,,,,
11.3846,98.0061,0,,,,,,,,,,,,,,
11.6141,97.8139,0,,,,,,,,,,,,,,
11.6088,97.3156,0,,,,,,,,,,,,,,
11.8149,91.9166,0,,,,,,,,,,,,,,
11.9293,90.3383,0,,,,,,,,,,,,,,
11.7928,87.7658,0,,,,,,,,,,,,,,
11.4294,90.7113,0,,,,,,,,,,,,,,
10.9583,99.5272,0,,,,,,,,,,,,,,
10.2683,99.1799,6.68E-06,,,,,,,,,,,,,,
11.3828,80.7532,0.128667,,,,,,,,,,,,,,
11.8067,79.4093,5.35756,,,,,,,,,,,,,,
12.2268,77.9082,18.3623,,,,,,,,,,,,,,
10.5455,99.753,25.3204,,,,,,,,,,,,,,
10.1686,99.7962,17.7068,,,,,,,,,,,,,,
9.58425,99.794,11.8354,,,,,,,,,,,,,,
8.91211,99.7678,13.5895,,,,,,,,,,,,,,
8.73394,99.6843,14.6042,,,,,,,,,,,,,,
8.11258,98.4053,12.4283,,,,,,,,,,,,,,
7.46325,96.4619,4.82346,,,,,,,,,,,,,,
7.55484,90.0485,0,,,,,,,,,,,,,,
7.41004,86.7732,0,,,,,,,,,,,,,,
7.09535,86.8594,0,,,,,,,,,,,,,,
6.70624,85.2633,0,,,,,,,,,,,,,,
6.37923,84.9739,0,,,,,,,,,,,,,,
6.10227,89.3802,0,,,,,,,,,,,,,,
6.09527,87.8408,0,,,,,,,,,,,,,,
6.21223,86.9362,0,,,,,,,,,,,,,,
6.32008,86.1027,0,,,,,,,,,,,,,,
5.65533,97.8486,0,,,,,,,,,,,,,,
5.49293,99.6968,0,,,,,,,,,,,,,,
5.0681,99.7429,0,,,,,,,,,,,,,,
4.97151,99.4793,0,,,,,,,,,,,,,,
5.49086,87.8483,1.76E-05,,,,,,,,,,,,,,
5.49723,87.3563,0.389507,,,,,,,,,,,,,,
5.61363,75.9801,7.51998,,,,,,,,,,,,,,
6.1085,67.0894,19.6754,,,,,,,,,,,,,,
6.94407,65.3107,36.3154,,,,,,,,,,,,,,
7.79566,66.9907,55.5347,,,,,,,,,,,,,,
6.03451,99.5228,59.8432,,,,,,,,,,,,,,
5.54886,99.7976,41.8715,,,,,,,,,,,,,,
4.99609,99.8409,19.2562,,,,,,,,,,,,,,
5.3825,99.8215,8.52473,,,,,,,,,,,,,,
5.40722,99.7926,2.49579,,,,,,,,,,,,,,
5.05903,99.7601,0,,,,,,,,,,,,,,
4.15563,99.6656,0,,,,,,,,,,,,,,
3.93915,99.2973,0,,,,,,,,,,,,,,
3.73378,98.8195,0,,,,,,,,,,,,,,
3.7388,98.4393,0,,,,,,,,,,,,,,
3.52035,98.0137,0,,,,,,,,,,,,,,
3.55343,97.8624,0,,,,,,,,,,,,,,
3.48845,97.7598,0,,,,,,,,,,,,,,
3.52835,97.4405,0,,,,,,,,,,,,,,
3.32545,97.2228,0,,,,,,,,,,,,,,
